url,status,found_emails,found_phones,found_osoby,ico,jurisdiction,error_reason
https://www.candyloco.sk/,OK,info@candyloco.sk,0905563489,,4,SK,
https://kktky.sk/,OK,info@kktky.sk,,,,SK,
https://www.floraobal.sk/,OK,maros.pastorek@floraobal.sk,,,5,SK,
https://www.bala21.cz/,OK,"info@bala21.cz, daniel.stanik@bala21.cz, spotrebitel@regio.cz","+420 603 223 221, +420 720 277 921, +420 296 366 360, +420 495 215 266",,,CZ,
https://www.lavanda.sk/,OK,lavanda@lavanda.sk,"+421 903 715 099, +421 903 715 094",Beata Štrbová|Konateľ|5,4,SK,
https://capkov.cz/,OK,info@capkov.cz,+420775942933,,,CZ,
https://www.wilsondo.sk/,OK,"info@wilsondo.sk, sales@wilsondo.sk, matus.ciernik@wilsondo.sk, martin.fodora@wilsondo.sk, gdpr@wilsondo.sk","02/222 007 01, 00421222200701, +421 904 650 177",Matúš Čiernik|sales|5,4,SK,
https://scanquilt.sk/,OK,eshop@scanquilt.sk,"0905 879 414, +421 905 879 414",,3,SK,
https://www.inspio.sk/,OK,"info@inspio.sk, cooperation@inspio.info","+421232179940, 200 201 202, 203 204 205, 206 207 208, 209 210 211",,5,SK,
https://www.sedooz.sk/,OK,"sedooz@sedooz.sk, statny.dozor@pdp.gov.sk","+421 904 530 656, +420737096601, 02/ 58272 172, 02/58272 104",Peter Ďurák|CEO|7,4,SK,
https://www.tuli.sk/,OK,info@tuli.sk,"+421 917 989 343, 02/ 58272 172, 02/58272 104",Kupujúci Podnikateľ|majiteľ|3,4,SK,
https://www.mojsvet.eu/,OK,"info@mojsvet.eu, eshop@mojsvet.eu","+421905405756, 54366003, 36631124, 48136999, 47866233",Nové Mesto|majiteľ|3,0,SK,
https://www.ferex.sk/,OK,"info@ferex.sk, statny.dozor@pdp.gov.sk","+421918222229, 0918 222 229, 0918222228, 50 010 301",Ernesta Bielika|zakladateľa|3,4,SK,
https://www.dajlabku.sk/,OK,"kontakt@dajlabku.sk, petbelle@petbelle.com","+421 911 900 009, 0911 900 009",Liptovskej Porúbky|majiteľ|3,5,SK,
https://www.medaren.sk/,OK,obchod@medaren.sk,"+421905856753, +421915183450, 02/58272 159, 02/58272 172, 02/58272 104",,4,SK,
https://www.ebabo.sk/,OK,info@ebabo.sk,+421 918 632 966,,4,SK,
https://babyknihy.sk/,OK,kontakt@babyknihy.sk,"+421948061500, 00421948061500, 53 146/152",,4,SK,
