url;primary_identifier;contact_name;role;email;phone;contact_points;direct_personal_email
https://www.indarceky.sk/;indarceky;;;podpora@indarceky.sk;021842152;10;False
https://www.stylin.sk/;Stylin shop s.r.o.;;;info@stylin.sk;+420777592979;10;False
https://www.zeniqo.sk/;ZENIQO;;;eshop@zeniqo.sk;080272963;10;False
https://www.domoss.sk/;DOMOSS.SK;;;info@domoss.sk;;10;False
https://eshop.globo-lighting.sk/;;;;;;0;False
https://www.velkykosik.cz/;Velký košík;;;info@velkykosik.cz;+420245008200;10;False
https://ema-elektro.sk/;ema-elektro.sk;;;objednavky@ema-elektro.sk;;10;False
https://lomax.sk/;Lomax;;;info@lomax.sk;0262523331;10;False
https://www.zuriel.cz/;;;;;;0;False
https://www.fermatshop.sk/;FERMAT SK s.r.o.;;;info@fermatshop.sk;0900000000;10;False
